"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.719533615E0,-1.920494437E-1,-5.453643799E-1,-9.127902985E-1,1.080505171E0
2.729698231E0,-4.565128684E-2,-4.147963524E-1,-7.361660004E-1,8.462153591E-1
2.741608539E0,-4.578787088E-2,-4.118194580E-1,-7.381801605E-1,8.465233278E-1
2.749530385E0,-5.391916037E-1,-4.071807861E-1,-5.962247849E-1,9.011147386E-1
2.759574385E0,-5.240418911E-1,-4.045290947E-1,-5.972700119E-1,8.916250104E-1
2.769527231E0,-9.518893957E-1,-3.490056992E-1,-5.280637741E-1,1.143131554E0
2.780211539E0,-9.964351654E-1,-3.753499985E-1,-8.331441879E-1,1.351998483E0
2.789581923E0,-9.649689198E-1,-3.780059814E-1,-8.294906616E-1,1.327444272E0
2.800071231E0,-1.029929161E0,-3.877811432E-1,-8.778543472E-1,1.407748751E0
2.809535462E0,-1.005685329E0,-3.905987740E-1,-8.743486404E-1,1.388688564E0
2.819546231E0,-8.050886393E-1,-4.159007072E-1,-1.100766182E0,1.425772528E0
2.829540692E0,-7.906967998E-1,-4.186582565E-1,-1.097879410E0,1.416268111E0
2.839619846E0,-4.443968534E-1,-3.756937981E-1,-1.215222836E0,1.347368151E0
2.849519846E0,-9.844350815E-2,-3.383660316E-1,-1.319297791E0,1.365550935E0
2.859527692E0,-9.532195330E-2,-3.415007591E-1,-1.316941261E0,1.363834055E0
2.869837769E0,1.678519547E-1,-3.377995491E-1,-9.757246971E-1,1.046098226E0
2.879622154E0,1.671394408E-1,-3.362994194E-1,-9.767956734E-1,1.046500205E0
2.889882846E0,1.884601414E-1,-2.807888985E-1,-6.433000565E-1,7.267699726E-1
2.899545923E0,3.051912487E-1,-1.487960815E-1,-6.242451668E-1,7.106081905E-1
2.910425615E0,3.014007509E-1,-1.452865601E-1,-6.268963814E-1,7.105981073E-1
2.919549615E0,2.128536105E-1,4.341125488E-2,-5.649781227E-1,6.053027967E-1
2.929553692E0,2.091006637E-1,4.587888718E-2,-5.669159889E-1,6.059881998E-1
2.939611385E0,3.380081058E-1,1.439709663E-1,-6.447644234E-1,7.420904799E-1
2.949667154E0,3.311715126E-1,1.458501816E-1,-6.465163231E-1,7.408982401E-1
2.959981769E0,1.334581673E-1,2.073473930E-1,-5.142731667E-1,5.703340370E-1
2.969528615E0,-1.520046592E-1,2.986278534E-1,-4.747242928E-1,5.810741479E-1
2.979522231E0,-1.547209620E-1,3.035969734E-1,-4.782547951E-1,5.872285308E-1
2.989742846E0,-7.689315081E-2,3.637218475E-1,-4.419827461E-1,5.775421083E-1
3.000116462E0,-8.188629150E-2,3.693366051E-1,-4.460892677E-1,5.849021520E-1
3.009606462E0,-6.204193830E-2,3.650379181E-1,-7.065963745E-2,3.769544642E-1
3.019517308E0,-6.942623854E-2,3.740181923E-1,-7.714939117E-2,3.881515675E-1
3.029641308E0,8.760750294E-2,3.679246902E-1,2.087421417E-1,4.319918217E-1
3.041656846E0,2.152029574E-1,4.761714935E-1,1.480216980E-1,5.431040666E-1
3.049562462E0,1.997556686E-1,4.829754829E-1,1.425638199E-1,5.417490997E-1
