"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.029979000E0,-6.010487080E-1,-1.323851585E0,-4.175901413E-1,1.512687706E0
2.040021923E0,-7.497203350E-2,-1.354703188E0,8.371572495E-1,1.594262774E0
2.050044692E0,-8.718240261E-2,-1.321997166E0,8.224716187E-1,1.559402719E0
2.060261846E0,-3.108492196E-1,-1.107383490E0,8.316068649E-1,1.419329211E0
2.069977846E0,-3.147152662E-1,-1.077085257E0,8.185977936E-1,1.388978292E0
2.079973923E0,-7.007205486E-1,-6.183786392E-1,-5.060768127E-2,9.359287185E-1
2.089993923E0,-7.884651423E-1,-2.238457203E-1,-1.022430420E0,1.310399996E0
2.100994461E0,-7.661328912E-1,-2.207219601E-1,-1.022690773E0,1.296755261E0
2.111327077E0,-9.590106010E-1,-2.301204205E-1,-9.288911819E-1,1.354804624E0
2.119975538E0,-9.357020259E-1,-2.218844891E-1,-9.311170578E-1,1.338562656E0
2.129996154E0,-6.561057568E-1,-4.296205044E-1,-2.619276047E-1,8.268340897E-1
2.140214077E0,-5.025383234E-1,-6.389362812E-1,8.656406403E-2,8.174825228E-1
2.150030384E0,-4.864512086E-1,-6.154837608E-1,7.786846161E-2,7.883644687E-1
2.159992923E0,-5.528832674E-1,-7.186789513E-1,-5.684385300E-1,1.070187696E0
2.169995308E0,-5.387923717E-1,-7.017948627E-1,-5.744132996E-1,1.054876243E0
2.180189923E0,-5.564235449E-1,-4.767987728E-1,-1.822667122E0,1.964448948E0
2.189998461E0,-5.459588170E-1,-4.712350368E-1,-1.824233055E0,1.961621709E0
2.199984000E0,-2.212924957E-1,-4.375426769E-1,-2.129946709E0,2.185654809E0
2.209972308E0,2.913509607E-1,-6.090574265E-1,-1.971107006E0,2.083530456E0
2.220076461E0,2.859135866E-1,-6.003224850E-1,-1.974958897E0,2.083889706E0
2.230168692E0,3.787210584E-1,-7.661347389E-1,-1.863563538E0,2.050185635E0
2.240144000E0,3.741464019E-1,-7.591896057E-1,-1.866622925E0,2.049545201E0
2.249984077E0,1.408385932E-1,-8.264944553E-1,-2.179651260E0,2.335338993E0
2.260026615E0,1.457743347E-1,-8.279247284E-1,-2.178767204E0,2.335323541E0
2.271178923E0,-1.166273952E-1,-7.210192680E-1,-2.566920757E0,2.668811141E0
2.279974692E0,3.979448676E-1,-6.814825535E-1,-2.809043407E0,2.917790852E0
2.289973538E0,4.003047943E-1,-6.918659210E-1,-2.804726124E0,2.916403780E0
2.299973846E0,5.145654678E-1,-6.782732010E-1,-2.611060143E0,2.746355262E0
2.310217000E0,5.092009902E-1,-6.869375706E-1,-2.607920647E0,2.744525273E0
2.319980154E0,6.608068943E-1,-3.583478928E-1,-2.264939308E0,2.386425996E0
2.329980077E0,8.158526421E-1,5.943393707E-2,-1.449122906E0,1.664062836E0
2.340000923E0,8.139694929E-1,5.060768127E-2,-1.445657253E0,1.659829017E0
2.350529538E0,8.175607920E-1,2.511510849E-1,-3.582305908E-1,9.272603045E-1
2.360001154E0,8.242458701E-1,2.394025326E-1,-3.529920578E-1,9.280615388E-1
2.369986615E0,3.910192847E-1,5.407686234E-1,-3.588390350E-1,7.576887475E-1
2.379986692E0,4.107444882E-1,5.176358223E-1,-3.479347229E-1,7.468041581E-1
2.390702692E0,-7.081537843E-1,1.251572847E0,-5.503759384E-1,1.539749995E0
2.399983308E0,-1.150847912E0,1.654028416E0,7.432785034E-1,2.147725273E0
2.410004000E0,-1.130478382E0,1.640446901E0,7.505760193E-1,2.128946164E0
2.419980077E0,-2.662355900E-1,1.722568989E0,2.937008858E0,3.415281297E0
2.431924461E0,-2.669105530E-1,1.732002258E0,2.932961464E0,3.416626408E0
2.439986308E0,-5.182260275E-2,1.592350483E0,4.865555763E0,5.119755710E0
2.450056615E0,-6.612366438E-2,1.615677118E0,4.854725838E0,5.116947122E0
2.460292308E0,-2.503662705E-1,1.623071671E0,4.960062981E0,5.224870304E0
2.470082154E0,-1.471728086E-2,1.506157160E0,3.861824036E0,4.145167170E0
2.479985384E0,-3.560566902E-2,1.502592564E0,3.861848831E0,4.144023235E0
2.490119077E0,5.688329339E-1,1.314280033E0,3.099038124E0,3.413933246E0
2.500030461E0,5.373669863E-1,1.303847551E0,3.101370811E0,3.406946232E0
2.509979692E0,1.202331662E0,8.567163944E-1,2.861598969E0,3.219986500E0
2.520980384E0,1.428589225E0,3.476395607E-1,2.347062111E0,2.769552489E0
2.529973692E0,1.383758068E0,3.554553986E-1,2.341570854E0,2.743007291E0
2.540164923E0,1.510401845E0,-2.621626854E-1,2.957643509E0,3.331320779E0
2.552134769E0,1.466107368E0,-2.335991859E-1,2.944155693E0,3.297285572E0
2.559985538E0,2.118965626E0,-9.945344925E-1,3.445817947E0,4.165666274E0
2.570078000E0,2.073167562E0,-9.468913078E-1,3.425405502E0,4.114368694E0
2.580059923E0,2.230582237E0,-1.049625158E0,2.835996628E0,3.757670417E0
2.589981538E0,1.995596886E0,-7.732503414E-1,7.917709351E-1,2.281934319E0
2.599976077E0,1.954809666E0,-7.583847046E-1,7.854232788E-1,2.239043974E0
2.609975308E0,1.938477278E0,-5.593218803E-1,-8.304815292E-1,2.181796208E0
2.620076923E0,1.915457487E0,-5.633120537E-1,-8.291263580E-1,2.161885374E0
2.629995769E0,1.476716399E0,-5.353422165E-1,-7.790279388E-1,1.753330300E0
2.639994846E0,1.473020196E0,-5.365891457E-1,-7.785644531E-1,1.750393960E0
2.649979231E0,1.260376215E0,-6.394765377E-1,3.569822311E-1,1.457708736E0
2.660157538E0,9.650355577E-1,-7.418706417E-1,8.529901505E-1,1.486357250E0
2.670362384E0,9.512602091E-1,-7.202570438E-1,8.447084427E-1,1.461916054E0
2.679997308E0,9.906424880E-1,-6.231231689E-1,-3.767681122E-2,1.170928932E0
2.689997769E0,9.669566154E-1,-6.142978668E-1,-4.099273682E-2,1.146319052E0
2.700000769E0,7.673814297E-1,-6.056995392E-1,-1.304770947E0,1.630390571E0
2.710472538E0,2.277359366E-1,-5.628900528E-1,-2.359190941E0,2.436081026E0
2.719982231E0,2.159877270E-1,-5.791182518E-1,-2.352955818E0,2.432782302E0
2.729996846E0,2.521717548E-1,-7.557454109E-1,-2.665693760E0,2.782205050E0
2.739979769E0,2.457693219E-1,-7.677628994E-1,-2.661038876E0,2.780465847E0
2.750540923E0,4.117469192E-1,-9.393005371E-1,-2.131067276E0,2.365009251E0
2.759982384E0,4.033261240E-1,-9.432742596E-1,-2.129447937E0,2.363680775E0
2.770163615E0,-3.988821805E-2,-9.207010269E-1,-1.997778416E0,2.200090918E0
2.785695769E0,1.041023135E-1,-7.943925858E-1,-2.747757435E0,2.862178854E0
2.790156846E0,1.017949134E-1,-7.964999676E-1,-2.746908665E0,2.861866806E0
2.800011615E0,2.666641772E-2,-7.313756943E-1,-3.216154575E0,3.298374108E0
2.809986231E0,1.902334392E-2,-7.453672886E-1,-3.210590839E0,3.296032133E0
2.820020461E0,-5.748666823E-2,-5.504617691E-1,-3.183400154E0,3.231152955E0
2.829981692E0,-5.895879865E-2,-5.617389679E-1,-3.178954124E0,3.228742191E0
2.840384538E0,2.079523653E-1,-5.304539204E-1,-2.450439453E0,2.515805847E0
2.849992077E0,4.844685793E-1,-5.092103481E-1,-1.725273132E0,1.862947225E0
2.860016692E0,4.788335264E-1,-5.060415268E-1,-1.726414680E0,1.861683975E0
2.870001154E0,1.547776014E-1,-3.757908344E-1,-1.698220730E0,1.746175393E0
2.880023538E0,1.509082615E-1,-3.741130829E-1,-1.698802471E0,1.746042307E0
2.890014461E0,1.682535708E-1,-2.294087410E-2,-1.879051685E0,1.886708982E0
2.900111769E0,1.228370368E-1,2.438015938E-1,-1.485349655E0,1.510229040E0
2.909983692E0,1.249986142E-1,2.429695129E-1,-1.485066414E0,1.509993739E0
2.920047846E0,8.082714677E-2,4.686720371E-1,-2.399921417E-1,5.327126187E-1
2.929998231E0,8.595959842E-2,4.780094624E-1,-2.437534332E-1,5.434131346E-1
2.940008308E0,-1.103881001E-2,7.133862972E-1,7.739067078E-1,1.052603181E0
2.949992769E0,-4.760622978E-3,7.306127548E-1,7.670946121E-1,1.059363868E0
2.960027231E0,-1.755974889E-1,8.825013638E-1,1.692198753E0,1.916554136E0
2.969996615E0,-3.378069401E-1,9.689555168E-1,2.351746559E0,2.565872211E0
2.980022846E0,-3.180521727E-1,9.921770096E-1,2.342623711E0,2.563875631E0
2.989984538E0,-4.980046451E-1,8.982784748E-1,3.836354256E0,3.971464065E0
2.999983384E0,-4.713279903E-1,9.281280041E-1,3.824956894E0,3.964072011E0
3.010019538E0,-5.799586773E-1,8.730282784E-1,4.489347458E0,4.610072780E0
3.020004231E0,-5.904034376E-1,9.203531742E-1,4.063889503E0,4.208422992E0
3.030419308E0,-5.577231050E-1,9.343490601E-1,4.058835983E0,4.202167627E0
3.040013077E0,-7.952049971E-1,1.065503120E0,3.255968094E0,3.516955518E0
3.050371154E0,-7.546886206E-1,1.066248655E0,3.256068230E0,3.508335991E0
3.060230384E0,-8.785267472E-1,9.244320393E-1,2.128566742E0,2.481366602E0
